Year,GP_Name,Driver,LapNumber,Undercut_Successful,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,StationaryDuration,InLap_Sec,OutLap_Sec
2022,Bahrain,VER,14.0,0,3.7269999999998618,13.0,0.25500000000000966,-1.0,24.914,102.05,117.409
2022,Bahrain,VER,30.0,0,4.17699999999968,17.0,0.4969999999999999,15.0,24.945,101.537,117.239
2022,Bahrain,VER,43.0,0,4.948999999999614,11.0,0.8149999999999977,0.0,24.352,99.787,117.242
2022,Bahrain,VER,54.0,0,2.9979999999995925,10.0,0.8000000000000114,39.0,,124.094,
2022,Bahrain,GAS,14.0,0,1.5489999999999782,13.0,-0.027000000000001023,-1.0,24.578,104.005,121.397
2022,Bahrain,GAS,32.0,0,3.7919999999994616,4.0,4.213999999999999,-11.0,26.163,102.305,120.808
2022,Bahrain,PER,15.0,0,7.074000000000524,17.0,-2.0150000000000006,0.0,25.003,102.445,118.858
2022,Bahrain,PER,33.0,0,2.5429999999996653,18.0,-0.16400000000000148,-10.0,24.149,101.868,117.056
2022,Bahrain,PER,43.0,0,2.882999999999811,9.0,-0.014000000000010004,28.0,24.917,100.228,116.521
2022,Bahrain,ALO,11.0,1,2.7330000000001746,10.0,0.8810000000000002,-4.0,25.386,104.265,120.053
2022,Bahrain,ALO,25.0,0,8.115000000000691,10.0,1.1329999999999956,-18.0,24.956,102.836,120.922
2022,Bahrain,ALO,42.0,0,2.6589999999996508,12.0,1.1610000000000014,0.5,24.539,102.925,117.366
2022,Bahrain,LEC,15.0,0,,,,0.0,25.033,102.041,117.66
2022,Bahrain,LEC,31.0,0,,,,16.0,24.513,101.545,116.325
2022,Bahrain,LEC,46.0,0,,,,3.0,24.602,125.151,
2022,Bahrain,STR,18.0,0,4.083000000000538,6.0,2.4240000000000066,3.0,25.761,104.384,120.651
2022,Bahrain,STR,38.0,0,5.735000000000582,1.0,-18.412000000000006,23.0,27.001,103.895,121.514
2022,Bahrain,STR,45.0,0,17.63299999999981,2.0,1.5480000000000018,2.0,25.033,133.896,149.264
2022,Bahrain,MAG,14.0,0,8.01299999999992,16.0,0.835000000000008,-1.0,25.438,104.244,119.764
2022,Bahrain,MAG,34.0,0,3.3729999999995925,6.0,3.4380000000000024,19.0,25.878,103.256,120.375
2022,Bahrain,MAG,46.0,0,19.722999999999956,4.0,-8.27800000000002,3.0,26.053,126.178,127.721
2022,Bahrain,TSU,15.0,0,2.194999999999709,14.0,-2.7279999999999944,0.0,26.118,103.687,121.989
2022,Bahrain,TSU,29.0,0,4.381000000000313,14.0,0.18599999999999284,-14.0,24.361,102.805,119.21
2022,Bahrain,TSU,44.0,0,0.026000000000749424,13.0,-2.7009999999999934,29.0,24.16,101.039,147.999
2022,Bahrain,ALB,13.0,0,4.293999999999869,2.0,-21.192000000000007,-2.0,24.906,104.752,121.075
2022,Bahrain,ALB,35.0,0,6.671999999999571,16.0,0.8400000000000034,-8.0,25.612,103.965,123.311
2022,Bahrain,ALB,46.0,0,9.828999999999724,7.0,-5.739999999999981,3.0,25.083,132.997,141.354
2022,Bahrain,ZHO,15.0,0,1.331000000000131,17.0,-2.551000000000002,0.0,25.457,103.106,121.722
2022,Bahrain,ZHO,37.0,0,1.5919999999996435,22.0,-2.1140000000000043,-6.0,25.34,102.7,120.031
2022,Bahrain,ZHO,45.0,0,3.9070000000010623,15.0,-3.254000000000005,2.0,28.652,121.756,
2022,Bahrain,HUL,19.0,0,0.7150000000001455,6.0,3.7120000000000033,4.0,27.358,105.242,123.711
2022,Bahrain,HUL,37.0,0,3.3400000000001455,12.0,-0.10800000000000409,22.0,26.685,103.481,122.368
