Driver,LapNumber,Gap_To_Ahead,TyreAge_In,OldCompound,NewCompound,StationaryDuration,InLap_Sec,OutLap_Sec,Is_Traffic,Undercut_Successful,Year,GP_Name
VER,14.0,3.727,17.0,SOFT,SOFT,24.914,102.05,117.409,0,0,2022,Bahrain Grand Prix
VER,30.0,4.177,16.0,SOFT,MEDIUM,24.945,101.537,117.239,0,0,2022,Bahrain Grand Prix
VER,43.0,4.949,13.0,MEDIUM,SOFT,24.352,99.787,117.242,0,0,2022,Bahrain Grand Prix
GAS,14.0,1.549,17.0,SOFT,MEDIUM,24.578,104.005,121.397,0,0,2022,Bahrain Grand Prix
GAS,32.0,3.792,18.0,MEDIUM,HARD,26.163,102.305,120.808,0,0,2022,Bahrain Grand Prix
PER,15.0,7.074,18.0,SOFT,MEDIUM,25.003,102.445,118.858,0,0,2022,Bahrain Grand Prix
PER,33.0,2.543,18.0,MEDIUM,SOFT,24.149,101.868,117.056,0,0,2022,Bahrain Grand Prix
PER,43.0,2.883,13.0,SOFT,SOFT,24.917,100.228,116.521,0,0,2022,Bahrain Grand Prix
ALO,11.0,2.733,14.0,SOFT,MEDIUM,25.386,104.265,120.053,0,1,2022,Bahrain Grand Prix
ALO,25.0,8.115,14.0,MEDIUM,HARD,24.956,102.836,120.922,0,0,2022,Bahrain Grand Prix
ALO,42.0,2.659,17.0,HARD,SOFT,24.539,102.925,117.366,0,0,2022,Bahrain Grand Prix
LEC,15.0,0.0,15.0,SOFT,SOFT,25.033,102.041,117.66,0,0,2022,Bahrain Grand Prix
LEC,31.0,0.0,19.0,SOFT,MEDIUM,24.513,101.545,116.325,0,0,2022,Bahrain Grand Prix
STR,18.0,4.083,18.0,SOFT,SOFT,25.761,104.384,120.651,0,0,2022,Bahrain Grand Prix
STR,38.0,5.735,20.0,SOFT,MEDIUM,27.001,103.895,121.514,0,0,2022,Bahrain Grand Prix
STR,45.0,17.633,7.0,MEDIUM,SOFT,25.033,133.896,149.264,0,0,2022,Bahrain Grand Prix
MAG,14.0,8.013,14.0,SOFT,SOFT,25.438,104.244,119.764,0,0,2022,Bahrain Grand Prix
MAG,34.0,3.373,23.0,SOFT,MEDIUM,25.878,103.256,120.375,0,0,2022,Bahrain Grand Prix
MAG,46.0,19.723,12.0,MEDIUM,SOFT,26.053,126.178,127.721,0,0,2022,Bahrain Grand Prix
TSU,15.0,2.195,15.0,SOFT,MEDIUM,26.118,103.687,121.989,0,0,2022,Bahrain Grand Prix
TSU,29.0,4.381,14.0,MEDIUM,SOFT,24.361,102.805,119.21,0,0,2022,Bahrain Grand Prix
TSU,44.0,0.026,15.0,SOFT,SOFT,24.16,101.039,147.999,0,0,2022,Bahrain Grand Prix
ALB,13.0,4.294,13.0,SOFT,MEDIUM,24.906,104.752,121.075,0,0,2022,Bahrain Grand Prix
ALB,35.0,6.672,22.0,MEDIUM,MEDIUM,25.612,103.965,123.311,0,0,2022,Bahrain Grand Prix
ALB,46.0,9.829,13.0,MEDIUM,SOFT,25.083,132.997,141.354,0,0,2022,Bahrain Grand Prix
ZHO,15.0,1.331,15.0,SOFT,MEDIUM,25.457,103.106,121.722,0,0,2022,Bahrain Grand Prix
ZHO,37.0,1.592,22.0,MEDIUM,MEDIUM,25.34,102.7,120.031,0,0,2022,Bahrain Grand Prix
HUL,19.0,0.715,19.0,SOFT,SOFT,27.358,105.242,123.711,0,0,2022,Bahrain Grand Prix
HUL,37.0,3.34,18.0,SOFT,MEDIUM,26.685,103.481,122.368,0,0,2022,Bahrain Grand Prix
HUL,44.0,1.439,7.0,MEDIUM,SOFT,25.799,113.374,148.352,0,0,2022,Bahrain Grand Prix
RIC,17.0,0.667,17.0,MEDIUM,SOFT,24.931,106.215,120.056,0,0,2022,Bahrain Grand Prix
RIC,33.0,6.187,16.0,SOFT,HARD,24.928,103.359,122.85,0,0,2022,Bahrain Grand Prix
RIC,44.0,4.2379999999999995,11.0,HARD,SOFT,25.153,109.227,148.703,0,0,2022,Bahrain Grand Prix
OCO,14.0,2.463,14.0,SOFT,MEDIUM,30.491,104.08,125.634,0,0,2022,Bahrain Grand Prix
OCO,30.0,6.93,16.0,MEDIUM,HARD,25.419,102.618,120.824,0,0,2022,Bahrain Grand Prix
OCO,43.0,6.754,13.0,HARD,SOFT,24.417,101.631,116.78,0,0,2022,Bahrain Grand Prix
NOR,24.0,3.114,24.0,MEDIUM,HARD,24.574,105.759,122.145,0,0,2022,Bahrain Grand Prix
NOR,41.0,14.492,17.0,HARD,SOFT,27.35,102.153,120.713,0,0,2022,Bahrain Grand Prix
NOR,45.0,6.175,4.0,SOFT,SOFT,25.018,132.35,143.748,0,0,2022,Bahrain Grand Prix
HAM,11.0,0.961,13.0,SOFT,HARD,25.208,102.945,123.697,0,0,2022,Bahrain Grand Prix
HAM,27.0,13.952,17.0,HARD,MEDIUM,25.778,101.666,121.276,0,0,2022,Bahrain Grand Prix
HAM,44.0,14.306,17.0,MEDIUM,SOFT,25.595,101.007,131.741,0,0,2022,Bahrain Grand Prix
MSC,12.0,1.567,12.0,SOFT,MEDIUM,25.188,105.949,119.469,0,1,2022,Bahrain Grand Prix
MSC,35.0,4.196,23.0,MEDIUM,SOFT,25.591,103.748,118.5,0,0,2022,Bahrain Grand Prix
SAI,14.0,6.419,17.0,SOFT,SOFT,24.738,103.029,118.327,0,0,2022,Bahrain Grand Prix
SAI,33.0,0.0,19.0,SOFT,MEDIUM,24.394,101.915,117.101,0,0,2022,Bahrain Grand Prix
SAI,44.0,10.728,11.0,MEDIUM,SOFT,24.289,99.699,123.686,0,0,2022,Bahrain Grand Prix
LAT,14.0,1.921,14.0,SOFT,SOFT,24.437,105.315,118.534,0,1,2022,Bahrain Grand Prix
LAT,32.0,5.774,18.0,SOFT,MEDIUM,24.63,104.577,123.32,0,0,2022,Bahrain Grand Prix
LAT,45.0,8.684,13.0,MEDIUM,SOFT,24.635,131.603,138.301,0,0,2022,Bahrain Grand Prix
RUS,15.0,5.245,18.0,SOFT,HARD,25.894,103.097,122.37,0,0,2022,Bahrain Grand Prix
RUS,33.0,13.36,19.0,HARD,MEDIUM,25.332,101.83,119.638,0,0,2022,Bahrain Grand Prix
BOT,14.0,3.089,17.0,SOFT,MEDIUM,25.937,103.736,120.669,0,0,2022,Bahrain Grand Prix
BOT,36.0,11.044,22.0,MEDIUM,MEDIUM,25.137,102.299,118.899,0,0,2022,Bahrain Grand Prix
BOT,45.0,11.062,9.0,MEDIUM,SOFT,25.211,121.176,148.768,0,0,2022,Bahrain Grand Prix
GAS,15.0,2.312,15.0,MEDIUM,HARD,22.812,99.58,143.731,0,0,2022,Saudi Arabian Grand Prix
PER,15.0,0.0,15.0,MEDIUM,HARD,20.478,98.591,128.106,0,0,2022,Saudi Arabian Grand Prix
STR,13.0,0.191,14.0,MEDIUM,HARD,22.343,101.859,116.297,0,0,2022,Saudi Arabian Grand Prix
MAG,37.0,6.996,39.0,HARD,MEDIUM,22.382,99.989,143.719,0,1,2022,Saudi Arabian Grand Prix
ALB,13.0,5.5809999999999995,13.0,MEDIUM,HARD,20.668,101.186,115.413,0,0,2022,Saudi Arabian Grand Prix
ZHO,27.0,0.464,11.0,HARD,HARD,15.105,98.66,108.451,0,0,2022,Saudi Arabian Grand Prix
